aX;aY;aZ;gX;gY;gZ
-0.873;-0.977;-0.814;-223.511;267.822;283.630
-1.424;-0.354;-0.999;-298.950;291.687;289.673
-1.493;0.332;-1.548;-388.855;323.364;277.344
-1.339;0.701;-2.279;-554.504;350.281;257.263
-1.219;0.570;-2.606;-792.236;340.698;222.412
-1.188;0.549;-2.050;-921.875;294.739;169.922
-1.135;0.559;-1.341;-687.561;247.192;121.155
-1.308;0.218;-1.336;-201.599;228.394;88.867
-1.639;-0.002;-1.679;190.552;226.807;72.632
-1.686;-0.055;-1.866;351.501;226.440;63.904
-1.635;0.049;-1.833;353.577;223.145;70.313
-1.628;0.267;-2.018;295.532;214.294;102.722
-1.672;0.598;-2.600;235.168;190.796;141.846
-1.797;0.988;-3.333;158.325;147.949;172.852
-2.020;1.457;-3.972;11.719;73.608;188.232
-2.236;1.683;-3.969;-210.571;-27.710;182.556
-2.285;1.751;-3.672;-339.417;-123.840;151.794
-2.295;1.340;-3.222;-260.681;-198.242;106.750
-2.317;0.851;-2.682;-95.947;-247.192;69.153
-2.370;0.422;-2.229;44.128;-267.395;41.504
-2.349;0.016;-1.907;127.380;-260.559;29.236
-2.338;-0.198;-1.688;165.344;-239.258;30.090
-2.318;-0.219;-1.599;186.646;-221.252;36.377
-2.341;-0.175;-1.583;203.308;-213.684;39.185
-2.345;-0.119;-1.609;210.999;-218.201;22.827
-2.268;-0.088;-1.483;200.867;-236.389;-3.662
-2.320;-0.062;-1.126;168.640;-261.353;-39.124
-2.294;0.057;-0.647;135.620;-285.645;-75.928
-2.216;0.114;-0.282;134.338;-301.941;-107.422
-2.118;0.098;0.051;164.856;-307.312;-130.249
-1.769;-0.048;0.185;238.464;-285.461;-154.480
-1.604;-0.491;0.098;349.854;-246.033;-203.369
-1.343;-1.027;0.206;433.594;-193.787;-255.127
-1.130;-1.516;0.363;477.783;-141.785;-292.053
-0.964;-1.928;0.936;443.298;-98.572;-307.434
-1.158;-2.159;1.312;362.915;-73.364;-313.782
-1.092;-3.139;1.449;261.047;-94.971;-302.490
-1.018;-4.000;1.870;136.780;-160.461;-282.227
-0.662;-4.000;2.818;-26.367;-253.540;-216.736
-0.057;-4.000;3.984;-95.459;-320.068;-91.675
0.073;-4.000;4.000;-45.166;-324.890;5.981
0.514;-4.000;4.000;23.804;-275.879;16.907
1.096;-4.000;4.000;102.905;-125.977;-52.185
1.185;-4.000;4.000;186.462;54.138;-121.338
0.914;-4.000;4.000;207.275;146.423;-115.417
0.634;-4.000;4.000;148.621;135.254;-62.256
0.550;-4.000;4.000;34.363;74.463;-13.306
0.476;-3.999;4.000;-50.537;13.977;28.015
0.281;-3.453;4.000;-74.158;-8.362;65.674
-0.243;-2.620;4.000;-59.570;15.930;83.252
-0.591;-2.058;4.000;-45.715;48.279;79.529
-0.706;-1.810;4.000;-59.387;68.848;56.763
-0.679;-1.742;4.000;-106.628;67.017;38.696
-0.503;-1.747;3.725;-183.472;49.927;35.950
-0.360;-1.762;3.425;-240.601;39.917;38.452
-0.269;-1.741;3.038;-265.564;39.734;36.560
-0.128;-1.784;2.655;-286.438;45.105;26.672
0.033;-1.838;2.351;-314.270;51.453;14.465
0.242;-1.889;2.166;-335.205;59.143;0.793
0.431;-2.021;2.016;-346.924;70.129;-16.479
0.515;-2.336;1.833;-338.745;93.445;-33.020
0.487;-2.478;1.572;-364.563;131.470;-32.959
0.441;-2.566;1.323;-400.635;187.805;-20.569
0.324;-2.557;1.139;-417.419;245.667;1.038
0.013;-2.420;0.974;-423.035;302.734;16.113
-0.394;-2.155;0.628;-400.208;379.211;14.587
-0.832;-1.879;0.096;-356.079;443.970;2.686
-1.166;-1.460;-0.322;-325.073;459.473;-22.583
-1.482;-1.109;-0.533;-310.669;426.636;-60.059
-1.599;-0.998;-0.738;-280.579;383.972;-81.970
-1.344;-1.175;-1.151;-209.045;339.661;-59.998
-1.432;-1.138;-1.877;-141.296;289.062;-3.296
-1.322;-1.212;-2.646;-31.921;333.069;62.805
-1.189;-0.977;-2.837;114.258;330.261;116.333
-1.703;-0.568;-2.043;274.658;317.749;116.638
-2.001;-0.088;-1.333;291.992;368.958;90.271
-1.723;0.061;-1.456;232.788;408.997;83.618
-1.820;0.068;-1.896;136.780;317.200;74.036
-2.043;0.133;-2.335;15.381;256.836;81.360
-2.084;0.196;-2.695;-113.892;165.039;84.900
-1.938;0.122;-3.095;-117.310;96.436;95.398
-2.173;-0.096;-3.662;-65.857;25.269;101.746
-2.260;-0.116;-3.832;-71.960;-62.317;94.482
-2.113;-0.135;-3.410;-93.872;-132.324;101.257
-2.035;-0.162;-2.747;-53.894;-167.053;110.229
-2.177;-0.167;-2.107;40.771;-186.523;100.830
-2.289;-0.175;-1.684;137.695;-188.843;83.557
-2.513;-0.196;-1.444;219.238;-188.049;58.655
-2.515;-0.285;-1.458;293.152;-151.245;21.179
-2.447;-0.408;-1.763;363.281;-79.041;-21.423
-2.501;-0.507;-1.894;391.479;-109.802;-48.706
-2.541;-0.581;-1.801;386.292;-180.176;-67.688
-2.541;-0.621;-1.556;351.624;-254.089;-82.825
-2.493;-0.612;-1.237;304.077;-324.463;-96.008
-2.368;-0.597;-0.825;260.620;-379.517;-111.206
-2.129;-0.748;-0.453;233.459;-410.522;-130.127
-1.758;-0.934;-0.024;220.947;-419.617;-137.573
-1.241;-1.097;0.522;239.502;-400.940;-133.057
-0.775;-0.992;1.178;278.259;-352.234;-125.549
-0.394;-1.055;1.239;320.312;-275.940;-124.390
-0.237;-1.231;1.247;352.844;-190.186;-136.536
-0.375;-1.464;1.660;330.017;-119.934;-147.034
-0.160;-3.256;1.482;257.385;-80.933;-182.007
0.118;-4.000;1.893;254.822;-141.785;-176.392
0.328;-4.000;2.746;232.605;-196.167;-121.887
0.515;-4.000;3.457;233.398;-209.167;-61.096
0.689;-4.000;3.974;243.958;-201.172;-26.062
0.636;-3.747;4.000;219.360;-199.707;-10.315
0.570;-3.271;4.000;146.362;-200.012;3.113
0.326;-2.773;4.000;63.477;-186.646;27.588
0.324;-2.590;4.000;14.099;-154.724;54.626
0.748;-3.303;4.000;38.635;-106.689;58.472
0.907;-3.803;4.000;24.841;-47.119;54.077
0.730;-3.795;4.000;11.353;46.936;45.654
0.349;-3.474;4.000;35.095;122.009;37.292
0.035;-2.964;4.000;38.452;164.795;29.663
-0.392;-2.400;4.000;11.414;186.401;31.921
-0.636;-2.003;4.000;-41.992;171.936;47.119
-0.706;-1.857;4.000;-111.084;139.648;68.420
-0.549;-1.900;4.000;-177.673;109.558;81.848
-0.407;-1.976;3.854;-227.234;85.938;85.876
-0.293;-1.951;3.644;-263.245;75.195;81.909
-0.194;-1.842;3.469;-288.696;84.473;65.491
-0.073;-1.810;3.210;-288.879;113.159;33.081
-0.010;-1.885;2.767;-269.653;149.353;-1.526
0.040;-1.933;2.323;-266.296;174.133;-21.851
0.118;-1.959;1.931;-279.114;181.641;-26.062
0.259;-2.038;1.682;-293.030;174.622;-21.118
0.428;-2.236;1.415;-302.063;157.715;-12.024
0.498;-2.432;1.176;-307.983;140.442;4.639
