aX;aY;aZ;gX;gY;gZ
-2.252;-1.340;-1.820;-330.200;-37.292;33.264
-2.259;-1.520;-2.344;-351.746;-98.083;34.790
-2.255;-1.920;-2.969;-352.722;-153.748;28.442
-2.243;-2.582;-3.796;-300.964;-221.130;29.114
-2.318;-3.109;-4.000;-201.233;-310.791;36.194
-2.481;-3.473;-4.000;-118.042;-403.198;48.340
-2.641;-3.760;-4.000;-31.189;-492.676;59.814
-2.676;-4.000;-3.436;87.646;-561.584;68.481
-2.676;-4.000;-2.621;193.359;-608.337;66.956
-2.560;-4.000;-1.779;299.072;-615.723;52.551
-2.349;-4.000;-0.879;408.264;-597.168;29.663
-1.919;-4.000;0.195;485.107;-570.068;5.981
-1.040;-4.000;1.650;505.737;-545.288;-15.381
0.086;-4.000;3.241;496.216;-526.917;-25.330
1.197;-4.000;4.000;442.322;-536.499;1.770
2.418;-4.000;4.000;252.625;-577.942;119.141
3.408;-2.175;4.000;67.383;-527.466;273.254
3.971;0.361;4.000;30.334;-338.684;373.657
3.536;1.816;4.000;120.117;-141.296;373.108
3.368;1.773;4.000;280.090;41.870;297.180
2.792;1.256;4.000;385.864;162.292;220.215
2.022;0.681;4.000;333.496;203.430;252.319
1.381;0.589;4.000;203.125;211.121;327.698
0.102;1.627;3.804;-19.470;214.478;424.316
-0.216;2.076;3.448;-108.887;215.271;428.406
-0.397;2.383;3.051;-167.480;216.736;407.288
-0.423;2.457;2.826;-208.252;219.604;360.962
-0.437;2.335;2.811;-234.558;223.877;302.979
-0.496;2.035;2.896;-255.737;233.826;240.967
-0.588;1.698;2.921;-272.522;246.155;177.429
-0.693;1.229;2.861;-279.846;253.357;112.305
-0.774;0.720;2.859;-290.710;251.892;56.458
-0.895;0.267;2.842;-298.096;250.977;17.822
-1.089;-0.058;2.707;-291.077;256.287;-8.240
-1.294;-0.264;2.492;-276.917;262.756;-28.442
-1.550;-0.393;2.266;-259.094;265.625;-50.293
-1.747;-0.572;2.007;-240.173;265.930;-77.820
-1.969;-0.673;1.707;-216.675;263.855;-107.300
-2.212;-0.697;1.196;-185.303;263.184;-138.977
-2.360;-0.755;0.516;-140.747;257.690;-175.476
-2.400;-0.866;-0.198;-88.013;234.070;-208.313
-2.274;-0.831;-0.690;-64.941;193.298;-221.741
-2.051;-0.818;-1.094;-68.665;148.254;-213.074
-1.777;-0.885;-1.425;-99.060;96.130;-180.847
-1.568;-0.838;-1.466;-177.368;30.884;-137.451
-1.489;-0.688;-1.416;-255.554;-31.006;-98.755
-1.574;-0.493;-1.485;-311.462;-81.909;-65.674
-1.719;-0.444;-1.842;-357.056;-127.502;-49.316
-1.824;-0.784;-2.520;-395.081;-173.706;-51.758
-1.929;-1.501;-3.141;-417.603;-237.427;-44.678
-1.989;-2.048;-3.973;-417.725;-321.045;-15.381
-1.983;-2.622;-4.000;-368.835;-394.043;6.287
-2.117;-2.987;-4.000;-261.719;-471.313;10.925
-2.236;-3.474;-3.999;-117.676;-539.429;3.113
-2.276;-3.834;-2.836;36.621;-584.412;-0.977
-1.992;-4.000;-1.406;196.533;-593.079;-5.127
-1.526;-4.000;-0.120;319.336;-567.810;-16.907
-0.933;-4.000;0.988;388.977;-532.593;-30.762
