aX;aY;aZ;gX;gY;gZ
-0.190;-0.697;-0.777;-155.396;131.958;-22.705
-0.404;-0.608;-0.753;-126.526;114.075;-7.385
-0.408;-0.525;-0.674;-105.896;113.647;2.258
-0.506;-0.409;-0.620;-102.539;124.634;6.287
-0.642;-0.278;-0.687;-94.849;138.000;1.770
-0.775;-0.106;-0.860;-95.581;152.100;-11.780
-0.823;0.039;-1.061;-115.906;157.898;-30.518
-0.891;0.175;-1.348;-138.916;150.024;-44.434
-0.907;0.328;-1.654;-145.813;132.385;-58.167
-0.749;0.325;-1.939;-154.785;115.173;-79.956
-0.496;0.081;-2.108;-186.523;102.112;-106.689
-0.095;-0.257;-2.352;-217.834;91.553;-132.751
0.427;-0.647;-2.707;-200.012;82.092;-153.381
0.872;-1.055;-2.753;-138.306;72.571;-149.170
1.184;-1.410;-2.919;-59.570;57.312;-123.352
1.519;-1.761;-3.234;-8.850;29.419;-96.069
1.714;-2.165;-3.596;-7.202;6.104;-68.604
2.029;-2.046;-3.898;-19.592;41.016;-71.533
2.083;-1.940;-4.000;8.667;39.917;-49.133
2.029;-1.702;-4.000;43.640;4.028;-21.606
1.922;-1.514;-3.854;87.463;-24.109;-0.122
1.734;-1.354;-3.583;133.118;-46.326;14.709
1.486;-1.225;-3.303;161.072;-68.115;26.978
1.208;-1.113;-3.002;163.879;-91.125;37.659
0.929;-1.048;-2.735;153.381;-112.610;45.410
0.693;-1.012;-2.489;136.108;-133.179;50.354
0.488;-1.004;-2.287;118.774;-154.114;54.077
0.311;-0.982;-2.058;109.924;-173.584;56.396
0.148;-0.979;-1.833;117.188;-190.552;56.824
0.022;-0.981;-1.620;134.766;-202.148;49.805
-0.106;-1.007;-1.431;161.011;-212.463;37.476
-0.207;-1.058;-1.318;192.383;-213.440;28.503
-0.310;-1.071;-1.180;206.482;-208.374;21.484
-0.390;-1.077;-1.138;205.933;-203.369;15.686
-0.499;-1.086;-1.124;197.632;-201.843;12.634
-0.565;-1.109;-1.089;189.148;-203.308;11.963
-0.633;-1.116;-1.026;192.749;-204.895;14.221
-0.688;-1.102;-0.841;192.261;-215.332;16.724
-0.682;-1.107;-0.627;183.960;-228.516;25.024
-0.636;-1.078;-0.398;175.964;-238.831;36.987
-0.554;-1.062;-0.109;159.851;-240.845;44.312
-0.506;-0.984;0.100;140.869;-238.525;40.283
-0.448;-0.907;0.199;140.015;-223.816;35.217
0.874;-1.236;2.056;58.228;-88.379;-88.440
1.099;-1.515;2.527;65.613;-53.772;-79.895
1.350;-1.672;2.849;73.730;-1.831;-92.285
1.490;-1.841;3.048;81.604;49.194;-80.505
3.932;-4.000;4.000;153.076;234.314;98.755
1.828;-2.173;-1.301;307.678;442.688;342.041
0.255;1.004;-1.032;-140.564;3.906;158.508
0.248;0.933;1.271;-423.462;-100.830;-13.367
3.015;-2.223;3.537;-411.926;-183.411;-97.168
1.797;-1.480;3.891;-148.315;-93.994;43.579
1.035;-0.643;3.211;11.230;18.555;81.726
0.944;-0.563;2.895;-58.777;83.069;37.292
1.092;-1.054;2.528;-158.020;114.746;-0.916
0.978;-1.245;1.838;-98.206;154.114;-15.686
0.787;-1.173;1.345;-23.926;178.528;-20.996
0.738;-1.318;1.113;-16.418;182.251;-20.691
0.716;-1.497;0.931;-29.785;179.504;-8.423
0.584;-1.459;0.718;-39.185;177.856;14.282
0.406;-1.310;0.509;-36.804;179.260;37.170
0.288;-1.208;0.351;-32.349;182.556;50.903
0.179;-1.109;0.208;-30.457;182.251;57.861
0.049;-1.004;0.090;-24.353;182.617;58.472
-0.021;-0.946;-0.018;-20.020;183.289;55.176
-0.051;-0.955;-0.204;-25.391;182.739;53.467
-0.099;-0.937;-0.283;-45.288;174.683;56.702
-0.147;-0.870;-0.307;-66.589;166.748;60.608
-0.228;-0.799;-0.370;-74.951;158.752;60.791
-0.288;-0.707;-0.401;-82.092;155.701;57.556
-0.351;-0.641;-0.456;-86.975;154.236;53.345
-0.387;-0.607;-0.517;-90.515;154.236;47.180
-0.664;-0.500;-0.493;-92.407;155.334;42.603
-0.364;-0.482;-0.657;-82.520;180.725;37.170
